state,district,murder,no_of_districts
"DELHI UT",SOUTH,66,1
"DELHI UT",WEST,66,1
KARNATAKA,KOLAR,66,1
ODISHA,GANJAM,66,1
"TAMIL NADU",VELLORE,66,1
"UTTAR PRADESH",ETAWAH,66,1
"UTTAR PRADESH",FATEHPUR,66,1
"UTTAR PRADESH",VARANASI,66,1
"WEST BENGAL",BIRBHUM,66,1
"TAMIL NADU",THANJAVUR,66,1
"DELHI UT",SOUTH-EAST,66,1
"ANDHRA PRADESH",NELLORE,66,1
HARYANA,JHAJJAR,66,1
JHARKHAND,GODDA,66,1
KARNATAKA,RAMANAGAR,66,1
MAHARASHTRA,GADCHIROLI,66,1
GUJARAT,"VADODARA RURAL",66,1
"WEST BENGAL",COOCHBEHAR,66,1
"ANDHRA PRADESH","VISAKHA RURAL",66,1
BIHAR,JAMUI,66,1
"MADHYA PRADESH",SATNA,66,1
"WEST BENGAL","UTTAR DINAJPUR",66,1
JHARKHAND,DUMKA,66,1
JHARKHAND,SIMDEGA,66,1
"WEST BENGAL",PURULIA,66,1
JHARKHAND,DUMKA,65,1
TRIPURA,WEST,65,1
ASSAM,GOLAGHAT,65,1
CHHATTISGARH,JASHPUR,65,1
CHHATTISGARH,SARGUJA,65,1
"UTTAR PRADESH",FATEHGARH,65,1
"UTTAR PRADESH","GAUTAMBUDH NAGAR",65,1
BIHAR,BETTIAH,65,1
BIHAR,JAMUI,65,1
"MADHYA PRADESH",BHOPAL,65,1
ODISHA,ROURKELA,65,1
"UTTAR PRADESH",AZAMGARH,65,1
"DELHI UT",SOUTH-WEST,65,1
BIHAR,BHABHUA,65,1
JHARKHAND,SARAIKELA,65,1
MAHARASHTRA,LATUR,65,1
"ARUNACHAL PRADESH",TOTAL,65,1
BIHAR,BUXAR,65,1
MAHARASHTRA,"NAGPUR RURAL",65,1
"TAMIL NADU",DINDIGUL,65,1
BIHAR,KHAGARIA,65,1
MAHARASHTRA,SATARA,65,1
ODISHA,ANGUL,65,1
"UTTAR PRADESH",JHANSI,65,1
"ANDHRA PRADESH",KRISHNA,65,1
ASSAM,"KARBI ANGLONG",65,1
"WEST BENGAL",KOLKATA,65,1
RAJASTHAN,HANUMANGARH,65,1
"TAMIL NADU",CUDDALORE,65,1
"TAMIL NADU","MADURAI RURAL",65,1
"ANDHRA PRADESH","RANGA REDDY",65,1
BIHAR,GOPALGANJ,65,1
JHARKHAND,GIRIDIH,65,1
KARNATAKA,KOLAR,65,1
ODISHA,KHURDA,65,1
KARNATAKA,TUMKUR,65,1
"MADHYA PRADESH",REWA,65,1
"UTTAR PRADESH",KAUSHAMBI,65,1
HARYANA,GURGAON,65,1
JHARKHAND,SIMDEGA,65,1
"MADHYA PRADESH",BALAGHAT,65,1
"UTTAR PRADESH",BANDA,65,1
"UTTAR PRADESH",HATHRAS,65,1
UTTARAKHAND,HARIDWAR,65,1
"JAMMU & KASHMIR",DODA,65,1
"MADHYA PRADESH",JABALPUR,65,1
"MADHYA PRADESH",UJJAIN,65,1
BIHAR,MADHEPURA,65,1
HARYANA,FARIDABAD,65,1
ASSAM,BARPETA,64,1
GUJARAT,BHAVNAGAR,64,1
KARNATAKA,HASSAN,64,1
MAHARASHTRA,AKOLA,64,1
"TAMIL NADU","MADURAI RURAL",64,1
GUJARAT,DAHOD,64,1
"MADHYA PRADESH",GUNA,64,1
ASSAM,DHUBRI,64,1
BIHAR,JAMUI,64,1
BIHAR,JEHANABAD,64,1
PUNJAB,LUDHIANA,64,1
"UTTAR PRADESH",KANNAUJ,64,1
BIHAR,MUNGER,64,1
"TAMIL NADU","COIMBATORE RURAL",64,1
KARNATAKA,TUMKUR,64,1
MAHARASHTRA,SATARA,64,1
"UTTAR PRADESH",AZAMGARH,64,1
"ANDHRA PRADESH",KRISHNA,64,1
"MADHYA PRADESH",SHIVPURI,64,1
"UTTAR PRADESH",FATEHGARH,64,1
BIHAR,BETTIAH,64,1
NAGALAND,DIMAPUR,64,1
HARYANA,PANIPAT,64,1
KARNATAKA,BIJAPUR,64,1
"MADHYA PRADESH",REWA,64,1
MAHARASHTRA,"AMRAVATI RURAL",64,1
ASSAM,CACHAR,64,1
JHARKHAND,SARAIKELA,64,1
ODISHA,JAJPUR,64,1
"UTTAR PRADESH",FATEHPUR,64,1
"DELHI UT",WEST,64,1
HARYANA,JHAJJAR,64,1
"MADHYA PRADESH",BHIND,64,1
BIHAR,KATIHAR,63,1
JHARKHAND,KHUNTI,63,1
RAJASTHAN,BHARATPUR,63,1
"TAMIL NADU",CUDDALORE,63,1
"UTTAR PRADESH",RAIBAREILLY,63,1
"WEST BENGAL","PURAB MIDNAPUR",63,1
"ANDHRA PRADESH","RANGA REDDY",63,1
JHARKHAND,SIMDEGA,63,1
BIHAR,BETTIAH,63,1
BIHAR,KHAGARIA,63,1
CHHATTISGARH,DANTEWARA,63,1
"TAMIL NADU",VILLUPURAM,63,1
"UTTAR PRADESH",ETAH,63,1
"WEST BENGAL","UTTAR DINAJPUR",63,1
"DELHI UT",SOUTH-WEST,63,1
"DELHI UT",WEST,63,1
ODISHA,SUNDARGARH,63,1
MAHARASHTRA,"AMRAVATI RURAL",63,1
MAHARASHTRA,KOLHAPUR,63,1
"TAMIL NADU",KRISHNAGIRI,63,1
"TAMIL NADU",TIRUPPUR,63,1
"JAMMU & KASHMIR",SRINAGAR,63,1
JHARKHAND,DUMKA,63,1
"MADHYA PRADESH",BHIND,63,1
"TAMIL NADU",ERODE,63,1
BIHAR,MUNGER,63,1
GUJARAT,"AHMEDABAD RURAL",63,1
HARYANA,ROHTAK,63,1
ODISHA,KHURDA,63,1
RAJASTHAN,GANGANAGAR,63,1
"WEST BENGAL",DARJEELING,63,1
"UTTAR PRADESH",PILIBHIT,63,1
"UTTAR PRADESH",RAMPUR,63,1
ASSAM,KOKRAJHAR,63,1
BIHAR,LAKHISARAI,63,1
"TAMIL NADU","THIRUNELVELI RURAL",63,1
"UTTAR PRADESH","GAUTAMBUDH NAGAR",63,1
"UTTAR PRADESH",PRATAPGARH,63,1
BIHAR,SITAMARHI,63,1
CHHATTISGARH,JASHPUR,63,1
KARNATAKA,HASSAN,63,1
"TAMIL NADU",THANJAVUR,63,1
"TAMIL NADU",THOOTHUGUDI,63,1
BIHAR,ARARIA,63,1
"JAMMU & KASHMIR",BARAMULLA,63,1
KARNATAKA,BIJAPUR,63,1
MAHARASHTRA,BEED,63,1
GUJARAT,"SURAT RURAL",62,1
ODISHA,KEONJHAR,62,1
"DELHI UT","NORTH EAST",62,1
ASSAM,KOKRAJHAR,62,1
"JAMMU & KASHMIR",RAMBAN,62,1
KARNATAKA,BIJAPUR,62,1
KARNATAKA,"MYSORE RURAL",62,1
"UTTAR PRADESH",FAIZABAD,62,1
"UTTAR PRADESH",HAMIRPUR,62,1
"UTTAR PRADESH",JHANSI,62,1
BIHAR,KHAGARIA,62,1
BIHAR,MADHEPURA,62,1
HARYANA,GURGAON,62,1
HARYANA,SONIPAT,62,1
"TAMIL NADU",CUDDALORE,62,1
"TAMIL NADU",DINDIGUL,62,1
"UTTAR PRADESH",J.P.NAGAR,62,1
"UTTAR PRADESH",SULTANPUR,62,1
"MADHYA PRADESH",UJJAIN,62,1
ODISHA,GANJAM,62,1
"ANDHRA PRADESH","RANGA REDDY",62,1
"MADHYA PRADESH",CHHATARPUR,62,1
MAHARASHTRA,BEED,62,1
"UTTAR PRADESH",BIJNOR,62,1
CHHATTISGARH,JAGDALPUR,62,1
GUJARAT,PANCHMAHAL,62,1
HARYANA,ROHTAK,62,1
KARNATAKA,TUMKUR,62,1
"UTTAR PRADESH",JAUNPUR,62,1
"ANDHRA PRADESH","WEST GODAVARI",62,1
HARYANA,BHIWANI,62,1
"TAMIL NADU",THOOTHUGUDI,62,1
"UTTAR PRADESH",BARABANKI,62,1
HARYANA,JHAJJAR,62,1
"MADHYA PRADESH",SHIVPURI,62,1
"UTTAR PRADESH",FATEHGARH,62,1
"UTTAR PRADESH",RAIBAREILLY,62,1
CHHATTISGARH,JASHPUR,62,1
RAJASTHAN,ALWAR,62,1
"UTTAR PRADESH",HATHRAS,62,1
"WEST BENGAL",DARJEELING,62,1
JHARKHAND,BOKARO,62,1
ODISHA,BALASORE,62,1
"MADHYA PRADESH",DEWAS,62,1
"TAMIL NADU",THANJAVUR,62,1
"TAMIL NADU",VIRUDHUNAGAR,62,1
MANIPUR,"IMPHAL WEST",61,1
RAJASTHAN,GANGANAGAR,61,1
"TAMIL NADU",CUDDALORE,61,1
CHHATTISGARH,BIZAPUR,61,1
JHARKHAND,HAZARIBAGH,61,1
KARNATAKA,"DAKSHIN KANNADA",61,1
HARYANA,BHIWANI,61,1
JHARKHAND,GARHWA,61,1
"MADHYA PRADESH",DATIYA,61,1
ODISHA,ANGUL,61,1
RAJASTHAN,"JAIPUR RURAL",61,1
"ANDHRA PRADESH",NELLORE,61,1
ASSAM,DHUBRI,61,1
"TAMIL NADU",THANJAVUR,61,1
"UTTAR PRADESH",FATEHGARH,61,1
"UTTAR PRADESH",HARDOI,61,1
"UTTAR PRADESH",HATHRAS,61,1
"UTTAR PRADESH","PANCHSHIL NAGAR",61,1
"UTTAR PRADESH",UNNAO,61,1
"DELHI UT",SOUTH-EAST,61,1
CHHATTISGARH,RAIGARH,61,1
JHARKHAND,BOKARO,61,1
"MADHYA PRADESH",CHHINDWARA,61,1
"MADHYA PRADESH",DHAR,61,1
"MADHYA PRADESH",SHIVPURI,61,1
ODISHA,PURI,61,1
"WEST BENGAL",BANKURA,61,1
ASSAM,DARRANG,61,1
BIHAR,LAKHISARAI,61,1
"MADHYA PRADESH",BHOPAL,61,1
MAHARASHTRA,"AURANGABAD RURAL",61,1
"DELHI UT","SOUTH WEST",61,1
"ARUNACHAL PRADESH",TOTAL,61,1
BIHAR,ARARIA,61,1
KARNATAKA,MANDYA,61,1
"TAMIL NADU",DINDIGUL,61,1
"TAMIL NADU",VELLORE,61,1
"UTTAR PRADESH",KAUSHAMBI,61,1
"ANDHRA PRADESH","VISAKHA RURAL",61,1
BIHAR,BUXAR,61,1
JHARKHAND,SAHEBGANJ,61,1
"MADHYA PRADESH",BHIND,61,1
"MADHYA PRADESH",SATNA,61,1
MAHARASHTRA,SATARA,61,1
MAHARASHTRA,LATUR,61,1
MAHARASHTRA,RAIGAD,61,1
ODISHA,KHURDA,61,1
"UTTAR PRADESH",GHAZIPUR,61,1
ASSAM,GOLAGHAT,61,1
MAHARASHTRA,CHANDRAPUR,61,1
PUNJAB,LUDHIANA,61,1
PUNJAB,PATIALA,61,1
"UTTAR PRADESH",KANNAUJ,61,1
"WEST BENGAL",MALDA,61,1
"WEST BENGAL",PURULIA,61,1
MAHARASHTRA,YAVATMAL,61,1
"WEST BENGAL","PURAB MIDNAPUR",61,1
"DELHI UT",NORTH-EAST,61,1
ASSAM,CACHAR,61,1
BIHAR,BETTIAH,61,1
BIHAR,KATIHAR,60,1
MAHARASHTRA,WARDHA,60,1
ASSAM,DHUBRI,60,1
BIHAR,BUXAR,60,1
JHARKHAND,SARAIKELA,60,1
"MADHYA PRADESH",SHAHDOL,60,1
"MADHYA PRADESH",SHIVPURI,60,1
"TAMIL NADU",THANJAVUR,60,1
"ANDHRA PRADESH",KRISHNA,60,1
BIHAR,MADHUBANI,60,1
"JAMMU & KASHMIR",BUDGAM,60,1
"MADHYA PRADESH",DATIYA,60,1
MAHARASHTRA,"AMRAVATI RURAL",60,1
ODISHA,KEONJHAR,60,1
RAJASTHAN,ALWAR,60,1
"TAMIL NADU",VELLORE,60,1
BIHAR,AURANGABAD,60,1
HARYANA,JHAJJAR,60,1
MAHARASHTRA,GADCHIROLI,60,1
"UTTAR PRADESH",PRATAPGARH,60,1
"ARUNACHAL PRADESH",TOTAL,60,1
BIHAR,MADHEPURA,60,1
"MADHYA PRADESH",BALAGHAT,60,1
ODISHA,GANJAM,60,1
JHARKHAND,BOKARO,60,1
"DELHI UT",WEST,60,1
"MADHYA PRADESH",BHOPAL,60,1
"MADHYA PRADESH",UJJAIN,60,1
MAHARASHTRA,SATARA,60,1
"TAMIL NADU",ERODE,60,1
"UTTAR PRADESH","KANSHIRAM NAGAR",60,1
BIHAR,NAWADAH,60,1
CHHATTISGARH,DANTEWARA,60,1
ASSAM,SIBSAGAR,60,1
RAJASTHAN,GANGANAGAR,60,1
"TAMIL NADU",TIRUPPUR,60,1
CHHATTISGARH,BIZAPUR,60,1
JHARKHAND,GIRIDIH,60,1
MAHARASHTRA,BULDHANA,60,1
HARYANA,ROHTAK,60,1
"MADHYA PRADESH",ALIRAJPUR,60,1
"TAMIL NADU","SALEM RURAL",60,1
"UTTAR PRADESH",J.P.NAGAR,60,1
"UTTAR PRADESH",UNNAO,60,1
"WEST BENGAL",ASANSOL,60,1
"MADHYA PRADESH",CHHINDWARA,59,1
ODISHA,DHENKANAL,59,1
HARYANA,FARIDABAD,59,1
JHARKHAND,SARAIKELA,59,1
"MADHYA PRADESH",ALIRAJPUR,59,1
"MADHYA PRADESH",MORENA,59,1
MAHARASHTRA,KOLHAPUR,59,1
"ARUNACHAL PRADESH",TOTAL,59,1
KARNATAKA,HASSAN,59,1
ODISHA,JAJPUR,59,1
"UTTAR PRADESH",GONDA,59,1
BIHAR,DARBHANGA,59,1
KARNATAKA,BIJAPUR,59,1
MAHARASHTRA,BULDHANA,59,1
PUNJAB,FEROZPUR,59,1
"TAMIL NADU",DHARMAPURI,59,1
"TAMIL NADU","MADURAI RURAL",59,1
HARYANA,JHAJJAR,59,1
JHARKHAND,DUMKA,59,1
"MADHYA PRADESH",HOSHANGABAD,59,1
CHHATTISGARH,SURAJPUR,59,1
HARYANA,KARNAL,59,1
"UTTAR PRADESH",VARANASI,59,1
ASSAM,SIBSAGAR,59,1
KARNATAKA,BAGALKOT,59,1
CHHATTISGARH,DANTEWARA,59,1
KARNATAKA,RAICHUR,59,1
MAHARASHTRA,AKOLA,59,1
PUNJAB,JALANDHAR,59,1
"UTTAR PRADESH",BAHRAICH,59,1
"MADHYA PRADESH",SAGAR,59,1
RAJASTHAN,HANUMANGARH,59,1
BIHAR,BHABHUA,59,1
KARNATAKA,KOLAR,59,1
"MADHYA PRADESH",BETUL,59,1
"MADHYA PRADESH",TIKAMGARH,59,1
RAJASTHAN,UDAIPUR,59,1
"TAMIL NADU",THOOTHUGUDI,59,1
"UTTAR PRADESH",JALAUN,59,1
"UTTAR PRADESH",PILIBHIT,59,1
"ANDHRA PRADESH","WEST GODAVARI",59,1
BIHAR,KATIHAR,59,1
MAHARASHTRA,GADCHIROLI,59,1
MAHARASHTRA,"NAVI MUMBAI",59,1
RAJASTHAN,"JAIPUR RURAL",59,1
"ANDHRA PRADESH","VISAKHA RURAL",58,1
KARNATAKA,DAVANAGERE,58,1
"MADHYA PRADESH",RATLAM,58,1
ODISHA,GANJAM,58,1
RAJASTHAN,KOTA,58,1
KARNATAKA,TUMKUR,58,1
KERALA,TRIVANDRUM,58,1
"WEST BENGAL",KOLKATA,58,1
CHHATTISGARH,DURG,58,1
"MADHYA PRADESH",UJJAIN,58,1
BIHAR,MADHEPURA,58,1
RAJASTHAN,GANGANAGAR,58,1
BIHAR,BANKA,58,1
BIHAR,BHABHUA,58,1
"WEST BENGAL",HOOGHLY,58,1
ASSAM,CACHAR,58,1
HARYANA,FARIDABAD,58,1
HARYANA,HISSAR,58,1
"MADHYA PRADESH",DHAR,58,1
MAHARASHTRA,OSMANABAD,58,1
"TAMIL NADU","THIRUNELVELI RURAL",58,1
"MADHYA PRADESH",DAMOH,58,1
MAHARASHTRA,JALNA,58,1
RAJASTHAN,JHALAWAR,58,1
"UTTAR PRADESH",HATHRAS,58,1
"UTTAR PRADESH",UNNAO,58,1
"UTTAR PRADESH",VARANASI,58,1
CHHATTISGARH,JANJGIR,58,1
CHHATTISGARH,KORBA,58,1
CHHATTISGARH,SARGUJA,58,1
PUNJAB,JALANDHAR,58,1
"TAMIL NADU",TIRUPPUR,58,1
ASSAM,BASKA,58,1
JHARKHAND,DHANBAD,58,1
"MADHYA PRADESH",BETUL,58,1
PUNJAB,BHATINDA,58,1
RAJASTHAN,SIKAR,58,1
"TAMIL NADU",CUDDALORE,58,1
"TAMIL NADU",KRISHNAGIRI,58,1
"UTTAR PRADESH",BAHRAICH,58,1
"UTTAR PRADESH",SAHARANPUR,58,1
ASSAM,"GUWAHATI CITY",58,1
"MADHYA PRADESH",CHHATARPUR,58,1
MAHARASHTRA,PARBHANI,58,1
ODISHA,DHENKANAL,58,1
"WEST BENGAL",ASANSOL,58,1
ASSAM,GOLAGHAT,58,1
"MADHYA PRADESH",VIDISHA,58,1
MAHARASHTRA,"AURANGABAD RURAL",57,1
"UTTAR PRADESH",RAIBAREILLY,57,1
"DELHI UT",NORTH-WEST,57,1
"MADHYA PRADESH",BETUL,57,1
"WEST BENGAL",COOCHBEHAR,57,1
"DELHI UT",SOUTH-WEST,57,1
BIHAR,BUXAR,57,1
JHARKHAND,GODDA,57,1
"TAMIL NADU",DINDIGUL,57,1
"TAMIL NADU",ERODE,57,1
"UTTAR PRADESH",J.P.NAGAR,57,1
"DELHI UT",EAST,57,1
BIHAR,BHABHUA,57,1
"UTTAR PRADESH","PRABUDDH NAGAR",57,1
"WEST BENGAL",DARJEELING,57,1
JHARKHAND,SAHEBGANJ,57,1
MAHARASHTRA,GADCHIROLI,57,1
"UTTAR PRADESH",PRATAPGARH,57,1
HARYANA,ROHTAK,57,1
"MADHYA PRADESH",SHAHDOL,57,1
MAHARASHTRA,SATARA,57,1
"TAMIL NADU",VIRUDHUNAGAR,57,1
ASSAM,CACHAR,57,1
ASSAM,GOLAGHAT,57,1
KARNATAKA,DAVANAGERE,57,1
"WEST BENGAL",BIRBHUM,57,1
GUJARAT,BHAVNAGAR,57,1
KARNATAKA,MANDYA,57,1
"MADHYA PRADESH",REWA,57,1
ASSAM,"KARBI ANGLONG",57,1
"MADHYA PRADESH",BHIND,57,1
MAHARASHTRA,BEED,57,1
"TAMIL NADU","MADURAI RURAL",57,1
BIHAR,LAKHISARAI,57,1
"UTTAR PRADESH",SULTANPUR,57,1
"DELHI UT",WEST,57,1
"ANDHRA PRADESH","RANGA REDDY",57,1
ASSAM,BARPETA,57,1
BIHAR,PURNEA,57,1
CHHATTISGARH,JASHPUR,57,1
GUJARAT,"SURAT RURAL",57,1
GUJARAT,JUNAGADH,56,1
GUJARAT,PANCHMAHAL,56,1
KARNATAKA,SHIMOGA,56,1
"MADHYA PRADESH",BETUL,56,1
MAHARASHTRA,YAVATMAL,56,1
PUNJAB,PATIALA,56,1
RAJASTHAN,HANUMANGARH,56,1
"UTTAR PRADESH",JAUNPUR,56,1
"UTTAR PRADESH",MAHOBA,56,1
CHHATTISGARH,BILASPUR,56,1
CHHATTISGARH,RAIGARH,56,1
GUJARAT,"KHEDA NORTH",56,1
GUJARAT,"VADODARA COMMR.",56,1
"JAMMU & KASHMIR",KUPWARA,56,1
RAJASTHAN,KOTA,56,1
"TAMIL NADU",THANJAVUR,56,1
"UTTAR PRADESH","KANPUR DEHAT",56,1
BIHAR,LAKHISARAI,56,1
"JAMMU & KASHMIR",SRINAGAR,56,1
MAHARASHTRA,LATUR,56,1
"MADHYA PRADESH",CHHATARPUR,56,1
ODISHA,KORAPUT,56,1
CHHATTISGARH,SURAJPUR,56,1
ODISHA,GANJAM,56,1
JHARKHAND,GIRIDIH,56,1
KARNATAKA,BELLARY,56,1
RAJASTHAN,NAGAUR,56,1
"UTTAR PRADESH",BAHRAICH,56,1
BIHAR,BANKA,56,1
CHHATTISGARH,JANJGIR,56,1
HARYANA,ROHTAK,56,1
"MADHYA PRADESH",TIKAMGARH,56,1
MAHARASHTRA,BULDHANA,56,1
"UTTAR PRADESH",HATHRAS,56,1
ASSAM,UDALGURI,56,1
HARYANA,BHIWANI,56,1
MAHARASHTRA,"AURANGABAD RURAL",56,1
MAHARASHTRA,GADCHIROLI,56,1
PUNJAB,FEROZPUR,56,1
"TAMIL NADU",DINDIGUL,56,1
"UTTAR PRADESH",RAMPUR,56,1
"UTTAR PRADESH",SAHARANPUR,56,1
BIHAR,BHABHUA,56,1
HARYANA,HISSAR,56,1
"DELHI UT",NORTH-WEST,56,1
"MADHYA PRADESH",SHIVPURI,56,1
MAHARASHTRA,CHANDRAPUR,56,1
ASSAM,GOLAGHAT,56,1
KARNATAKA,HASSAN,56,1
"MADHYA PRADESH",MORENA,56,1
RAJASTHAN,DHOLPUR,56,1
RAJASTHAN,GANGANAGAR,56,1
"ANDHRA PRADESH","GUNTUR URBAN",56,1
CHHATTISGARH,RAIPUR,56,1
RAJASTHAN,PALI,56,1
"TAMIL NADU",NAGAPATTINAM,56,1
"UTTAR PRADESH","PANCHSHIL NAGAR",56,1
HARYANA,HISSAR,55,1
HARYANA,JHAJJAR,55,1
JHARKHAND,GODDA,55,1
UTTARAKHAND,HARIDWAR,55,1
ASSAM,"KARBI ANGLONG",55,1
RAJASTHAN,HANUMANGARH,55,1
"TAMIL NADU","TRICHY RURAL",55,1
CHHATTISGARH,RAJNANDGAON,55,1
"MADHYA PRADESH",RAISEN,55,1
MAHARASHTRA,JALNA,55,1
RAJASTHAN,SIKAR,55,1
"TAMIL NADU",NAGAPATTINAM,55,1
"UTTAR PRADESH",UNNAO,55,1
UTTARAKHAND,"UDHAMSINGH NAGAR",55,1
GUJARAT,BHAVNAGAR,55,1
"MADHYA PRADESH",SHIVPURI,55,1
MAHARASHTRA,SATARA,55,1
"TAMIL NADU",DHARMAPURI,55,1
"UTTAR PRADESH",AZAMGARH,55,1
ASSAM,GOALPARA,55,1
GUJARAT,"SURAT RURAL",55,1
MAHARASHTRA,"NAGPUR RURAL",55,1
ODISHA,KORAPUT,55,1
"UTTAR PRADESH","PRABUDDH NAGAR",55,1
GUJARAT,HIMATNAGAR,55,1
"UTTAR PRADESH",BALLIA,55,1
"WEST BENGAL",MALDA,55,1
GUJARAT,JUNAGADH,55,1
"JAMMU & KASHMIR",PULWAMA,55,1
MAHARASHTRA,PARBHANI,55,1
"UTTAR PRADESH","AMBEDKAR NAGAR",55,1
"UTTAR PRADESH",GHAZIPUR,55,1
"UTTAR PRADESH","KUSHI NAGAR",55,1
JHARKHAND,DEOGHAR,55,1
KARNATAKA,BIJAPUR,55,1
"MADHYA PRADESH",BALAGHAT,55,1
"MADHYA PRADESH",CHHATARPUR,55,1
"MADHYA PRADESH",DATIYA,55,1
PUNJAB,JALANDHAR,55,1
"UTTAR PRADESH",BARABANKI,55,1
BIHAR,DARBHANGA,55,1
CHHATTISGARH,DURG,55,1
CHHATTISGARH,JANJGIR,55,1
CHHATTISGARH,RAIGARH,55,1
MAHARASHTRA,AKOLA,55,1
"TAMIL NADU",CUDDALORE,55,1
"ANDHRA PRADESH","VISAKHA RURAL",55,1
"TAMIL NADU",ERODE,55,1
"UTTAR PRADESH",AURAIYA,55,1
"UTTAR PRADESH",FAIZABAD,55,1
RAJASTHAN,UDAIPUR,55,1
"UTTAR PRADESH",GONDA,55,1
"WEST BENGAL",BANKURA,55,1
BIHAR,SITAMARHI,55,1
GUJARAT,PANCHMAHAL,55,1
JHARKHAND,LATEHAR,54,1
"MADHYA PRADESH",CHHATARPUR,54,1
"ANDHRA PRADESH","VISAKHA RURAL",54,1
BIHAR,SITAMARHI,54,1
"MADHYA PRADESH",DATIYA,54,1
"MADHYA PRADESH",UJJAIN,54,1
"MADHYA PRADESH",BHOPAL,54,1
ODISHA,GANJAM,54,1
"TAMIL NADU","THIRUNELVELI RURAL",54,1
"UTTAR PRADESH",JHANSI,54,1
"WEST BENGAL",DARJEELING,54,1
"JAMMU & KASHMIR",PULWAMA,54,1
"JAMMU & KASHMIR",RAJOURI,54,1
ODISHA,PURI,54,1
CHHATTISGARH,RAIGARH,54,1
GUJARAT,JUNAGADH,54,1
MAHARASHTRA,LATUR,54,1
MAHARASHTRA,RAIGAD,54,1
PUNJAB,BHATINDA,54,1
UTTARAKHAND,HARIDWAR,54,1
JHARKHAND,SAHEBGANJ,54,1
KARNATAKA,HASSAN,54,1
ODISHA,ANGUL,54,1
"TAMIL NADU",ERODE,54,1
"UTTAR PRADESH",AZAMGARH,54,1
"UTTAR PRADESH",KANNAUJ,54,1
ASSAM,BARPETA,54,1
CHHATTISGARH,KANKER,54,1
"MADHYA PRADESH",BHIND,54,1
MAHARASHTRA,AKOLA,54,1
MAHARASHTRA,BULDHANA,54,1
MAHARASHTRA,DHULE,54,1
ODISHA,ROURKELA,54,1
"TAMIL NADU",KRISHNAGIRI,54,1
"UTTAR PRADESH",BARABANKI,54,1
"UTTAR PRADESH",SULTANPUR,54,1
"WEST BENGAL",BANKURA,54,1
"DELHI UT",NORTH-WEST,54,1
PUNJAB,AMRITSAR,54,1
ASSAM,CACHAR,54,1
BIHAR,MADHEPURA,54,1
"MADHYA PRADESH",ALIRAJPUR,54,1
"MADHYA PRADESH",VIDISHA,54,1
ODISHA,SUNDARGARH,54,1
CHHATTISGARH,DANTEWARA,54,1
KARNATAKA,SHIMOGA,54,1
"MADHYA PRADESH",BETUL,54,1
"UTTAR PRADESH",ETAH,54,1
"WEST BENGAL",KOLKATA,54,1
"DELHI UT",EAST,54,1
GUJARAT,PANCHMAHAL,54,1
KARNATAKA,BELLARY,54,1
"MADHYA PRADESH",REWA,54,1
MAHARASHTRA,OSMANABAD,54,1
ODISHA,SAMBALPUR,54,1
"TAMIL NADU",RAMNATHAPURAM,54,1
HARYANA,KARNAL,53,1
JHARKHAND,GARHWA,53,1
JHARKHAND,LATEHAR,53,1
"MADHYA PRADESH",CHHATARPUR,53,1
MAHARASHTRA,GADCHIROLI,53,1
RAJASTHAN,AJMER,53,1
"WEST BENGAL","UTTAR DINAJPUR",53,1
"ANDHRA PRADESH",KRISHNA,53,1
ASSAM,KOKRAJHAR,53,1
"MADHYA PRADESH",GUNA,53,1
MAHARASHTRA,OSMANABAD,53,1
ODISHA,ANGUL,53,1
BIHAR,BUXAR,53,1
CHHATTISGARH,JASHPUR,53,1
GOA,TOTAL,53,1
BIHAR,ARARIA,53,1
HARYANA,JIND,53,1
"MADHYA PRADESH",RATLAM,53,1
ODISHA,BALASORE,53,1
PUNJAB,"CP AMRITSAR",53,1
MAHARASHTRA,SANGLI,53,1
"UTTAR PRADESH",BAHRAICH,53,1
"WEST BENGAL",COOCHBEHAR,53,1
BIHAR,SAHARSA,53,1
JHARKHAND,CHATRA,53,1
"MADHYA PRADESH",MORENA,53,1
PUNJAB,BHATINDA,53,1
PUNJAB,PATIALA,53,1
"TAMIL NADU",KANYAKUMARI,53,1
"WEST BENGAL","DAKSHIN DINAJPUR",53,1
"ANDHRA PRADESH",VIJAYAWADA,53,1
ASSAM,GOLAGHAT,53,1
BIHAR,DARBHANGA,53,1
KARNATAKA,"MYSORE RURAL",53,1
KERALA,TRIVANDRUM,53,1
"MADHYA PRADESH",HOSHANGABAD,53,1
"MADHYA PRADESH",TIKAMGARH,53,1
MAHARASHTRA,RAIGAD,53,1
"UTTAR PRADESH",AURAIYA,53,1
"MADHYA PRADESH",DEWAS,53,1
"WEST BENGAL",MALDA,53,1
"JAMMU & KASHMIR",RAMBAN,53,1
KARNATAKA,HASSAN,53,1
MAHARASHTRA,"AMRAVATI RURAL",53,1
"TAMIL NADU",ERODE,53,1
GUJARAT,BHAVNAGAR,53,1
GUJARAT,"KHEDA NORTH",53,1
PUNJAB,LUDHIANA,53,1
"UTTAR PRADESH",JAUNPUR,53,1
UTTARAKHAND,"UDHAMSINGH NAGAR",53,1
"TAMIL NADU","SALEM RURAL",53,1
"WEST BENGAL",BANKURA,53,1
BIHAR,BHABHUA,53,1
BIHAR,KHAGARIA,53,1
"UTTAR PRADESH",RAIBAREILLY,53,1
"WEST BENGAL",HOWRAH,53,1
