state,district,year,rape,kidnapping
"MADHYA PRADESH",VIDISHA,2004,100,10
"MADHYA PRADESH",RAJGARH,2007,100,16
"MADHYA PRADESH",VIDISHA,2007,100,18
"MADHYA PRADESH",DHAR,2008,100,27
"ANDHRA PRADESH",KARIMNAGAR,2002,99,42
"MADHYA PRADESH",DHAR,2009,99,32
ASSAM,GOALPARA,2011,99,89
RAJASTHAN,ALWAR,2011,99,143
RAJASTHAN,GANGANAGAR,2011,99,68
"MADHYA PRADESH",BHOPAL,2002,98,21
"MADHYA PRADESH",RAISEN,2002,98,8
"MADHYA PRADESH",RAJGARH,2004,98,14
"ANDHRA PRADESH",KHAMMAM,2009,98,96
ASSAM,BARPETA,2012,98,224
"MADHYA PRADESH",DEWAS,2002,97,13
"MADHYA PRADESH",INDORE,2004,97,30
"WEST BENGAL",MALDA,2004,97,46
"MADHYA PRADESH",RAISEN,2005,97,14
"MADHYA PRADESH",VIDISHA,2005,97,14
ASSAM,BARPETA,2008,97,117
ASSAM,DARRANG,2010,97,123
"ANDHRA PRADESH","WEST GODAVARI",2011,97,90
KARNATAKA,"BANGALORE COMMR.",2011,97,206
"MADHYA PRADESH",RATLAM,2011,97,39
ASSAM,SONITPUR,2012,97,220
KERALA,MALAPPURAM,2012,97,3
KERALA,"TRIVANDRUM RURAL",2012,97,10
DELHI,SOUTH,2004,96,175
"WEST BENGAL",MALDA,2005,96,36
ASSAM,SONITPUR,2011,96,231
"MADHYA PRADESH",BETUL,2001,95,16
"MADHYA PRADESH",RAJGARH,2001,95,9
"ANDHRA PRADESH",CYBERABAD,2010,95,72
ASSAM,DARRANG,2011,95,192
"MADHYA PRADESH",VIDISHA,2003,94,7
DELHI,WEST,2005,94,122
RAJASTHAN,UDAIPUR,2007,94,108
ASSAM,CACHAR,2012,94,163
"MADHYA PRADESH",VIDISHA,2012,94,23
"TAMIL NADU",CHENNAI,2012,94,65
BIHAR,ARARIA,2001,93,13
"MADHYA PRADESH",CHHINDWARA,2001,93,16
"UTTAR PRADESH",BAREILLY,2001,93,98
"MADHYA PRADESH",INDORE,2002,93,28
"MADHYA PRADESH",BHOPAL,2003,93,46
"ANDHRA PRADESH","HYDERABAD CITY",2006,93,77
DELHI,NORTH-EAST,2006,93,149
"MADHYA PRADESH",VIDISHA,2008,93,13
"MADHYA PRADESH",RAISEN,2009,93,8
MAHARASHTRA,"THANE COMMR.",2010,93,61
"MADHYA PRADESH",SHIVPURI,2011,93,18
BIHAR,KATIHAR,2003,92,42
"WEST BENGAL","24 PARGANAS NORTH",2003,92,103
"WEST BENGAL",BURDWAN,2004,92,52
"WEST BENGAL",COOCHBEHAR,2004,92,38
"MADHYA PRADESH",JABALPUR,2005,92,23
"WEST BENGAL","PASCHIM MIDNAPUR",2005,92,44
RAJASTHAN,CHITTORGARH,2007,92,119
MAHARASHTRA,"PUNE COMMR.",2008,92,80
JHARKHAND,RANCHI,2010,92,113
MIZORAM,TOTAL,2010,92,0
ASSAM,BARPETA,2011,92,156
"MADHYA PRADESH",RAISEN,2012,92,16
"MADHYA PRADESH",REWA,2012,92,35
MAHARASHTRA,"PUNE RURAL",2012,92,51
RAJASTHAN,HANUMANGARH,2012,92,57
"WEST BENGAL",COOCHBEHAR,2012,92,169
"WEST BENGAL","UTTAR DINAJPUR",2012,92,258
ASSAM,NAGAON,2004,91,134
"MADHYA PRADESH",SHIVPURI,2007,91,17
RAJASTHAN,UDAIPUR,2008,91,148
